score	arxiv_id	opg_slug	attributed_to	title	arxiv_excerpt	paper_contribution	abs_url
100	1110.4077	behzads_conjecture	Behzad; Vizing	Total Colouring Conjecture	$\chi_T(G) \leq \Delta(G) + 2$ for any graph $G$.	Proves a special case as Theorem 2.8: for any graph $G$ of treewidth at most $k$ with $\Delta(G) \geq (k+2)^{2k+2}$, $\mathrm{ch}_T(G) = \chi_T(G) = \Delta(G)+1$, yielding a stronger form of the conje	https://arxiv.org/abs/1110.4077
100	2103.07886	caccetta_haggkvist_conjecture	Caccetta and Häggkvist	Caccetta-Häggkvist Conjecture	Every digraph on $n$ vertices with minimum out-degree at least $r$ contains a directed cycle of length at most $\lceil n/r \rceil$.	Proves that every locally in-tournament digraph satisfies the Caccetta-Häggkvist conjecture, deducing it from the structural decomposition theorem (Theorem 2.3).	https://arxiv.org/abs/2103.07886
100	2206.10733	caccetta_haggkvist_conjecture	Caccetta and Häggkvist	Caccetta-Häggkvist Conjecture	Let $n, k$ be positive integers. Suppose that $G$ is a simple digraph on $n$ vertices with $\delta^+(v) \geq \lceil n/k \rceil$ for all $v \in V(G)$; then $G$ c	Does not prove new bounds for the conjecture directly; instead uses existing approximations for the triangle case as a tool to establish improved triangularity bounds for Aharoni's rainbow generalizat	https://arxiv.org/abs/2206.10733
100	2102.08679	edge_reconstruction_conjecture	Kelly and Ulam	Reconstruction Conjecture	For $n \geq 3$, two graphs $G$ and $H$ of order $n$ are isomorphic if and only if $\mathcal{D}(G) = \mathcal{D}(H)$.	Proves that the degree sequence of any graph with average degree at most $d$ can be reconstructed from any deck missing at most $\frac{n}{10^4 d^3}$ cards; in particular, for graphs embeddable on a fi	https://arxiv.org/abs/2102.08679
100	2408.04618	erdos_faber_lovasz_conjecture	Lovász	Lovász Conjecture	Every connected vertex-transitive graph admits a Hamiltonian path.	Shows that every connected vertex-transitive graph on $n\geq 3$ vertices contains a cycle (and hence a path) of length at least $\Omega(n^{13/21})$, improving the previous bound of $\Omega(n^{3/5})$ d	https://arxiv.org/abs/2408.04618
100	2505.08634	erdos_faber_lovasz_conjecture	Lovász	Lovász Conjecture	Every sufficiently large connected vertex-transitive graph admits a Hamiltonian path.	Shows that every connected vertex-transitive graph of order $n$ contains a path of length $\Omega(n^{9/14})$, improving the previous best bound of $\Omega(n^{13/21})$.	https://arxiv.org/abs/2505.08634
100	1912.01570	jones_conjecture	Kloks, Lee and Liu	Jones' Conjecture	Every planar graph $G$ satisfies $\mathrm{fvs}(G) \leq 2 \cdot \mathrm{cp}(G)$.	Proves Jones' Conjecture for all subcubic planar multigraphs, i.e., establishes $\mathrm{fvs}(G) \leq 2 \cdot \mathrm{cp}(G)$ when the maximum degree is at most 3.	https://arxiv.org/abs/1912.01570
100	1609.05458	rysers_conjecture	Ryser	Ryser's Conjecture	Every $r$-partite $r$-uniform hypergraph $H$ satisfies $\tau(H) \leq (r-1)\nu(H)$, where $\tau(H)$ denotes the minimum size of a vertex cover and $\nu(H)$ denot	Constructs $r$-partite $r$-uniform intersecting hypergraphs with cover number at least $r-4$ for all sufficiently large $r$, showing that Ryser's Conjecture is close to best possible for every value o	https://arxiv.org/abs/1609.05458
100	2408.04618	the_bermond_thomassen_conjecture	Thomassen	Thomassen Conjecture	Apart from finitely many exceptional graphs, all connected vertex-transitive graphs contain a Hamiltonian cycle.	Shows that every connected vertex-transitive graph on $n\geq 3$ vertices contains a cycle of length at least $\Omega(n^{13/21})$, improving the previous bound of $\Omega(n^{3/5})$ due to DeVos (2023).	https://arxiv.org/abs/2408.04618
100	2505.08634	the_bermond_thomassen_conjecture	Thomassen	Thomassen Conjecture	Every sufficiently large connected vertex-transitive graph admits a Hamiltonian cycle.	Shows that every connected vertex-transitive graph of order $n$ contains a cycle of length $\Omega(n^{9/14})$, improving the previous best bound of $\Omega(n^{13/21})$.	https://arxiv.org/abs/2505.08634
