score	attr_overlap	states_safe_id	states_title	states_attrib_paper	studies_paper	studies_year	paper_contribution
100	aboulker,charbit,naserasr	2009.13319	Research direction: minimal heroic tournament families	2009.13319	2103.07886	2022	Proves the first open special case $F = S_2^+$, $H = C_3$: every locally out-transitive oriented graph has dichromatic number at most 2 (Theorem 3.2), and in fact proves the stronger Theorem 3.3 used 
100	bonnet,kim,thomasse,watrigant	2006.09877	Question: polynomial expansion and twin-width	2006.09877	2102.03117	2021	Theorem 1 (i),(iii) resolves the conjecture for hereditary classes of ordered graphs by showing that bounded twin-width and growth $2^{O(n)}$ (i.e., smallness up to isomorphism) are equivalent in this
99		1912.11246	Open problem: polynomial separator property for (prism, pyra	1912.11246	2005.05042	2021	Proves Conjecture 1.1 in full, establishing as Theorem 1.2 that every (theta, pyramid, prism, turtle)-free graph $G$ has at most $|V(G)|^{18}$ minimal separators, constructible in polynomial time.
98	kreutzer,oum,seymour,wood,zypen	1608.03040	Open Problem 8	1608.03040	1911.01954	2019	Answers the question negatively by proving that deciding whether a given digraph is majority 2-colorable is NP-complete (Theorem 9).
97	halasz,loth,masarik,mohar,samal	2103.05036	Conjecture 1	2103.05036	2202.07746	2023	Proved as a corollary of Theorem 3, which establishes $E[F] \leq n(H_{2\mu}+1)$; for simple graphs this specialises to the linear bound, further sharpened to $E[F] \leq \frac{\pi^2}{6}n$ by Theorem 8.
97	alon,wei	2108.02685	Conjecture 1.2	2108.02685	2207.13651	2022	The paper does not resolve Conjecture 1.1; it confirms the weaker asymptotic version (Conjecture 1.2) for $d = o(n/(\log n)^{12})$ via the irregular random subgraph model.
97	dvorak,mendez,wu	1812.07327	Problem 8	1812.07327	2411.16465	2024	Affirmatively solves the problem by constructing graphs with bounded Hall ratio, arbitrarily large fractional chromatic number, and $\alpha_{\mathrm{deg}_H}(H)\geq |E(H)|/c$ for all subgraphs $H$ (The
96		1507.08208	Conjecture 1.2	1507.08208	1803.03704	2018	The paper disproves Conjecture 3 for trees of maximum degree three by constructing a counterexample based on complete binary trees $T_k$ of arbitrary depth $k$, showing that no function $f$ can make t
96		1507.08208	Conjecture 1.2	1507.08208	1907.11600	2019	Proves the path case with optimal 3-edge-connectivity (replacing the 24-edge-connectivity of [3]), establishing that $f(2) = 3$ is achievable; notes the general conjecture is false for trees of maximu
94		1708.02370	Conjecture 4	1708.02370	2012.05554	2022	Proves Conjecture 4 for all minor-closed classes with bounded pathwidth by establishing $\chi^\star(\mathcal{G}) \leq 2\,\mathrm{tcn}(\mathcal{G}) - 2$ in that setting (Theorem 2), and shows this boun
