slug,title,url,category,importance,confidence,reviewed_at,citation_count,open_check,lean,proof_score,disproof_score,difficulty,note,summary
m_n_cycle_covers,"(m,n)-cycle covers",http://www.openproblemgarden.org/op/m_n_cycle_covers,Graph Theory > Basic Graph Theory > Cycles,High,high,2026-05-08,1,mixed: important cases solved; full problem open,balanced,2,1,5,"The (5,2)-cycle cover conjecture — that every bridgeless graph has a 5-cycle double cover — remains open as of 2026.","The (5,2)-cycle cover conjecture — that every bridgeless graph has a 5-cycle double cover — remains open as of 2026. Since it was posted, partial progress includes a characterisation of when a 2-regular subgraph of a bridgeless cubic graph can be extended to a 5-cycle double cover, and verification of the 5-CDC conjecture for several families of snarks via nowhere-zero 4-flow methods; the full conjecture, which strictly strengthens the still-open cycle double cover conjecture, is unresolved."
2_colouring_a_graph_without_a_monochromatic_maximum_clique,2-colouring a graph without a monochromatic maximum clique,http://www.openproblemgarden.org/op/2_colouring_a_graph_without_a_monochromatic_maximum_clique,Graph Theory > Coloring > Vertex coloring,Medium,high,2026-05-07,4,mixed: important cases solved; full problem open,prove,4,1,2,The Hoàng–McDiarmid conjecture that every odd-hole-free graph admits a 2-division (a vertex partition into two parts each missing a maximum clique) remains open in full generality.,"The Hoàng–McDiarmid conjecture that every odd-hole-free graph admits a 2-division (a vertex partition into two parts each missing a maximum clique) remains open in full generality. Since 2013, several restricted classes of odd-hole-free graphs have been proved to be 2-divisible (the hereditary strengthening): notably (banner, odd hole)-free graphs (Hoàng, 2018), (P₅, C₅)-free graphs (Chudnovsky–Sivaraman, 2019), and graphs forbidding an odd hole together with a dart, racket, or bull (Dong–Song–Xu, 2022). All of these are partial results; no proof covering all odd-hole-free graphs has appeared."
3_colourability_of_arrangements_of_great_circles,3-Colourability of Arrangements of Great Circles,http://www.openproblemgarden.org/op/3_colourability_of_arrangements_of_great_circles,Graph Theory > Topological Graph Theory > Coloring,Medium,high,2026-05-07,1,mixed: important cases solved; full problem open,balanced,2,1,3,The conjecture that every arrangement graph of great circles is $3$-colourable remains open.,"The conjecture that every arrangement graph of great circles is $3$-colourable remains open. Chiu, Felsner, Scheucher, Schröder, Steiner, and Vogtenhuber (2022) proved 3-colourability for $\triangle$-saturated pseudocircle arrangements and showed $\chi_f(A) \le 3 + O(1/n)$ for all pairwise-intersecting pseudocircle arrangements, but neither result resolves the original problem restricted to great circles. A 2004 arXiv preprint by Cahit claiming a full proof was dismissed by the community as not constituting a valid proof."
3_decomposition_conjecture,3-Decomposition Conjecture,http://www.openproblemgarden.org/op/3_decomposition_conjecture,Graph Theory,High,high,2026-05-07,5,mixed: important cases solved; full problem open,prove,5,1,3,The 3-Decomposition Conjecture remains open for general connected cubic graphs.,"The 3-Decomposition Conjecture remains open for general connected cubic graphs. Since the 2017 posting, the conjecture has been verified for claw-free cubic graphs, claw-free and 4-chordal subcubic graphs, 3-connected star-like graphs, and 3-connected graphs of tree-width at most 3 or path-width at most 4; computational verification has been extended to all cubic graphs on at most 28 vertices. All evidence indicates the full conjecture is still unproved."
3_edge_coloring_conjecture,3-Edge-Coloring Conjecture,http://www.openproblemgarden.org/op/3_edge_coloring_conjecture,Graph Theory,High,medium,2026-05-07,1,mixed: important cases solved; full problem open,prove,4,2,3,"The conjecture—that every connected cubic graph admitting a $3$-edge coloring (equivalently, a nowhere-zero $4$-flow) contains an edge $e$ whose suppression to a cubic graph preserves the $3$-edge coloring—remains open…","The conjecture—that every connected cubic graph admitting a $3$-edge coloring (equivalently, a nowhere-zero $4$-flow) contains an edge $e$ whose suppression to a cubic graph preserves the $3$-edge coloring—remains open in general. Mattiolo (2025) proved the equivalent $4$-removable-edge formulation for all bipartite cubic graphs and derived an approximation result for the non-bipartite case, but the full conjecture is unresolved."
3_flow_conjecture,3-flow conjecture,http://www.openproblemgarden.org/op/3_flow_conjecture,Graph Theory > Coloring > Nowhere-zero flows,High,high,2026-05-07,3,mixed: important cases solved; full problem open,prove,3,1,5,Tutte's 3-flow conjecture (every 4-edge-connected graph has a nowhere-zero 3-flow) remains open.,"Tutte's 3-flow conjecture (every 4-edge-connected graph has a nowhere-zero 3-flow) remains open. Thomassen (2012) resolved the long-standing weak 3-flow conjecture of Jaeger by proving every 8-edge-connected graph admits a nowhere-zero 3-flow; Lovász, Thomassen, Wu, and Zhang (2013) subsequently sharpened this to every 6-edge-connected graph being $\mathbb{Z}_3$-connected. The gap from 4-edge-connected to 6-edge-connected remains unresolved, though the conjecture has also been confirmed for several restricted graph classes including toroidal graphs (Li et al., 2022) and projective planar graphs."
4_flow_conjecture,4-flow conjecture,http://www.openproblemgarden.org/op/4_flow_conjecture,Graph Theory > Coloring > Nowhere-zero flows,High,medium,2026-05-08,2,mixed: important cases solved; full problem open,balanced,1,1,5,Tutte's 4-flow conjecture remains open for general bridgeless graphs.,"Tutte's 4-flow conjecture remains open for general bridgeless graphs. For cubic graphs the equivalent snark conjecture was announced as proved by Robertson–Sanders–Seymour–Thomas in 1999, but the complete proof is still unpublished; two published steps (2016 and 2019) establish the doublecross and structural minor cases needed for the reduction. No breakthrough on the non-cubic general case has been reported."
5_flow_conjecture,5-flow conjecture,http://www.openproblemgarden.org/op/5_flow_conjecture,Graph Theory > Coloring > Nowhere-zero flows,Outstanding,high,2026-05-08,2,yes: full/general case open,balanced,2,2,5,Tutte's 5-flow conjecture remains open; Seymour's 1981 result (every bridgeless graph has a nowhere-zero 6-flow) is still the best universal bound.,"Tutte's 5-flow conjecture remains open; Seymour's 1981 result (every bridgeless graph has a nowhere-zero 6-flow) is still the best universal bound. Since the OPG posting, partial progress has been made extending the conjecture to special classes of cubic graphs: cyclically 6-edge-connected cubic graphs satisfying certain conditions on 1-factor intersections (Steffen 2015), and cyclically 6-edge-connected cubic graphs with oddness at most 4 (Mazzuoccolo–Steffen 2017)."
a_gold_grabbing_game,A gold-grabbing game,http://www.openproblemgarden.org/op/a_gold_grabbing_game,Graph Theory > Graph Algorithms,Medium,medium,2026-05-08,3,mixed: important cases solved; full problem open,prove,4,2,2,The gold-grabbing game on trees attracted significant attention after 2009.,"The gold-grabbing game on trees attracted significant attention after 2009. Micek and Walczak (2011) formalised a graph version, proved that the first player can guarantee at least $1/4$ of the total weight on even trees, and conjectured the threshold is $1/2$; Seacrest and Seacrest (2012) proved this conjecture for trees (first player can always secure at least half the gold on any tree with an even number of vertices), resolving the main case of Rosenfeld's problem. Subsequent work extended the half-guarantee to larger graph families (even blow-ups of trees and cycles), while the full bipartite-graph generalisation and exact optimal-strategy characterisation for odd trees remain open."
a_homomorphism_problem_for_flows,A homomorphism problem for flows,http://www.openproblemgarden.org/op/a_homomorphism_problem_for_flows,Graph Theory > Coloring > Nowhere-zero flows,Medium,high,2026-05-08,1,mixed: related claim/variant false; residual problem open,balanced,2,3,4,DeVos's conjecture remains open in general.,"DeVos's conjecture remains open in general. Hušek and Šámal (2020) showed that a natural strengthening of the conjecture fails universally, proved partial results for a restricted subclass of Cayley graph homomorphisms, and established that the conjecture (if true) would imply the existence of an oriented cycle double cover with a bounded number of cycles. The conjecture is known to hold for planar graphs (via planar duality) and in the special case $B = M \setminus \{0\}$ by Tutte's theorem, but the general case is unresolved."
